pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id,duracion_minutos,velocidad_mph
2022-09-01 17:27:00+00:00,2022-09-01 17:42:00+00:00,3.28,18.66,166,141,2,15.0,13.12
2022-09-10 19:38:00+00:00,2022-09-10 19:56:00+00:00,6.32,23.78,74,212,2,18.0,21.06666666666667
2022-09-24 03:23:00+00:00,2022-09-24 03:41:00+00:00,4.93,23.78,255,141,2,18.0,16.433333333333334
2022-09-14 11:43:00+00:00,2022-09-14 12:09:00+00:00,5.7,23.78,244,142,2,26.0,13.153846153846152
2022-09-01 10:22:25+00:00,2022-09-01 11:34:49+00:00,14.62,54.5,82,22,2,72.4,12.116022099447513
2022-09-06 11:35:20+00:00,2022-09-06 13:00:15+00:00,13.17,54.5,21,55,2,84.91666666666667,9.30559371933268
2022-09-20 07:00:24+00:00,2022-09-20 07:55:05+00:00,16.93,54.5,55,55,2,54.68333333333333,18.576043889058216
2022-09-24 07:43:57+00:00,2022-09-24 08:23:46+00:00,19.2,54.5,95,50,2,39.81666666666667,28.932607785684382
2022-09-01 01:29:49+00:00,2022-09-01 02:17:08+00:00,18.96,54.5,93,87,2,47.31666666666667,24.042268404367736
2022-09-29 23:01:14+00:00,2022-09-30 00:02:04+00:00,16.22,54.5,166,227,2,60.833333333333336,15.99780821917808
2022-09-20 14:07:00+00:00,2022-09-20 14:56:51+00:00,18.6,54.5,74,132,1,49.85,22.38716148445336
2022-09-24 14:44:07+00:00,2022-09-24 15:37:46+00:00,18.27,54.5,33,132,2,53.65,20.43243243243243
2022-09-22 05:52:17+00:00,2022-09-22 07:14:49+00:00,13.9,54.5,91,161,2,82.53333333333333,10.105008077544428
2022-09-25 04:21:01+00:00,2022-09-25 05:07:38+00:00,17.89,54.5,223,83,2,46.61666666666667,23.026099392205936
2022-09-29 09:29:00+00:00,2022-09-29 09:59:00+00:00,5.1,28.9,116,43,2,30.0,10.2
2022-09-20 14:54:00+00:00,2022-09-20 15:37:00+00:00,4.63,28.9,55,89,2,43.0,6.460465116279069
2022-09-11 14:01:00+00:00,2022-09-11 14:29:00+00:00,7.3,34.02,244,163,2,28.0,15.642857142857142
2022-09-11 02:31:00+00:00,2022-09-11 03:05:00+00:00,8.77,34.02,80,41,2,34.0,15.476470588235294
2022-09-23 10:46:00+00:00,2022-09-23 10:57:00+00:00,2.14,8.42,210,29,2,11.0,11.672727272727274
2022-09-28 12:26:00+00:00,2022-09-28 13:13:00+00:00,7.89,39.14,89,113,2,47.0,10.072340425531914
2022-09-10 09:07:00+00:00,2022-09-10 09:29:00+00:00,7.18,27.08,74,90,2,22.0,19.581818181818186
2022-09-20 14:26:05+00:00,2022-09-20 21:01:07+00:00,41.24,237.0,223,223,2,395.03333333333336,6.263775208843136
2022-09-23 16:08:00+00:00,2022-09-23 16:19:00+00:00,2.09,11.72,74,236,2,11.0,11.4
2022-09-03 20:39:00+00:00,2022-09-03 20:54:00+00:00,3.5,16.84,25,256,2,15.0,14.0
2022-09-28 13:14:00+00:00,2022-09-28 13:32:00+00:00,3.18,16.84,74,239,2,18.0,10.6
2022-09-12 13:32:00+00:00,2022-09-12 13:37:00+00:00,1.24,9.9,193,145,2,5.0,14.88
2022-09-16 08:59:00+00:00,2022-09-16 09:04:00+00:00,0.87,9.9,7,193,2,5.0,10.44
2022-09-22 12:50:00+00:00,2022-09-22 12:56:00+00:00,1.3,9.9,193,145,2,6.0,13.0
