pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id
2022-09-16 08:59:00.000000 UTC,2022-09-16 09:04:00.000000 UTC,0.87,9.9,7,193,2
2022-09-22 12:50:00.000000 UTC,2022-09-22 12:56:00.000000 UTC,1.3,9.9,193,145,2
2022-09-23 09:01:00.000000 UTC,2022-09-23 09:08:00.000000 UTC,1.02,9.9,7,193,2
2022-09-23 13:17:00.000000 UTC,2022-09-23 13:25:00.000000 UTC,1.29,9.9,193,145,2
2022-09-02 14:33:00.000000 UTC,2022-09-02 14:45:00.000000 UTC,1.55,9.9,25,189,2
2022-09-02 21:39:00.000000 UTC,2022-09-02 21:48:00.000000 UTC,1.86,9.9,95,28,2
2022-09-03 07:48:00.000000 UTC,2022-09-03 07:55:00.000000 UTC,1.34,9.9,41,74,2
2022-09-05 20:11:00.000000 UTC,2022-09-05 20:23:00.000000 UTC,1.8,9.9,61,49,2
2022-09-05 22:35:00.000000 UTC,2022-09-05 22:45:00.000000 UTC,1.83,9.9,116,166,2
2022-09-06 14:23:00.000000 UTC,2022-09-06 14:31:00.000000 UTC,1.01,9.9,74,41,2
2022-09-11 09:36:00.000000 UTC,2022-09-11 09:46:00.000000 UTC,1.76,9.9,166,116,2
2022-09-11 21:57:00.000000 UTC,2022-09-11 22:14:00.000000 UTC,2.11,9.9,42,74,2
2022-09-12 15:04:00.000000 UTC,2022-09-12 15:14:00.000000 UTC,1.63,9.9,55,108,2
2022-09-12 16:43:00.000000 UTC,2022-09-12 16:58:00.000000 UTC,1.91,9.9,25,33,2
2022-09-12 22:28:00.000000 UTC,2022-09-12 22:38:00.000000 UTC,1.78,9.9,116,166,2
2022-09-14 11:52:00.000000 UTC,2022-09-14 12:02:00.000000 UTC,1.67,9.9,42,166,2
2022-09-15 20:29:00.000000 UTC,2022-09-15 20:41:00.000000 UTC,1.95,9.9,166,75,2
2022-09-19 12:48:00.000000 UTC,2022-09-19 13:09:00.000000 UTC,1.7,9.9,189,52,2
2022-09-19 22:46:00.000000 UTC,2022-09-19 22:52:00.000000 UTC,0.93,9.9,181,181,2
2022-09-20 19:22:00.000000 UTC,2022-09-20 19:33:00.000000 UTC,1.92,9.9,226,146,2
2022-09-23 10:29:00.000000 UTC,2022-09-23 10:39:00.000000 UTC,1.53,9.9,75,166,2
2022-09-23 11:10:00.000000 UTC,2022-09-23 11:22:00.000000 UTC,1.53,9.9,166,74,2
2022-09-25 08:36:00.000000 UTC,2022-09-25 08:42:00.000000 UTC,1.05,9.9,49,189,2
2022-09-28 15:37:00.000000 UTC,2022-09-28 15:48:00.000000 UTC,1.83,9.9,152,24,2
2022-09-30 09:51:00.000000 UTC,2022-09-30 10:05:00.000000 UTC,1.21,9.9,52,33,2
2022-09-01 09:47:00.000000 UTC,2022-09-01 09:55:00.000000 UTC,1.33,9.9,191,265,2
2022-09-09 22:44:00.000000 UTC,2022-09-09 22:50:00.000000 UTC,0.33,9.9,247,247,2
2022-09-11 14:08:00.000000 UTC,2022-09-11 14:13:00.000000 UTC,0.84,9.9,37,198,2
2022-09-15 22:31:00.000000 UTC,2022-09-15 22:36:00.000000 UTC,0.92,9.9,168,74,2
2022-09-07 17:14:00.000000 UTC,2022-09-07 17:18:00.000000 UTC,0.94,9.9,193,193,2
2022-09-12 17:43:00.000000 UTC,2022-09-12 17:47:00.000000 UTC,0.9,9.9,193,193,2
2022-09-12 18:17:00.000000 UTC,2022-09-12 18:26:00.000000 UTC,1.42,9.9,193,145,2
2022-09-13 17:04:00.000000 UTC,2022-09-13 17:09:00.000000 UTC,0.8,9.9,193,7,2
2022-09-15 17:05:00.000000 UTC,2022-09-15 17:11:00.000000 UTC,0.92,9.9,193,193,2
2022-09-19 17:30:00.000000 UTC,2022-09-19 17:42:00.000000 UTC,1.76,9.9,193,145,2
2022-09-20 18:38:00.000000 UTC,2022-09-20 18:46:00.000000 UTC,0.98,9.9,193,145,2
2022-09-23 15:15:00.000000 UTC,2022-09-23 15:20:00.000000 UTC,0.99,9.9,193,193,2
2022-09-28 16:58:00.000000 UTC,2022-09-28 17:00:00.000000 UTC,0.17,9.9,193,193,2
2022-09-30 16:33:00.000000 UTC,2022-09-30 16:38:00.000000 UTC,1.01,9.9,193,193,2
2022-09-01 02:38:00.000000 UTC,2022-09-01 02:46:00.000000 UTC,1.67,9.9,244,152,2
2022-09-05 23:55:00.000000 UTC,2022-09-06 00:05:00.000000 UTC,1.98,9.9,66,97,2
2022-09-13 14:24:00.000000 UTC,2022-09-13 14:36:00.000000 UTC,1.64,9.9,129,7,2
2022-09-21 00:21:00.000000 UTC,2022-09-21 00:36:00.000000 UTC,2.2,9.9,37,61,2
2022-09-28 13:26:00.000000 UTC,2022-09-28 13:38:00.000000 UTC,1.87,9.9,74,166,2
2022-09-28 14:25:00.000000 UTC,2022-09-28 14:38:00.000000 UTC,1.83,9.9,166,236,2
2022-09-29 11:07:00.000000 UTC,2022-09-29 11:19:00.000000 UTC,1.97,9.9,41,116,2
2022-09-14 17:54:00.000000 UTC,2022-09-14 18:04:00.000000 UTC,1.44,9.9,193,145,2
2022-09-28 16:46:00.000000 UTC,2022-09-28 16:53:00.000000 UTC,1.39,9.9,193,145,2
2022-09-29 17:50:00.000000 UTC,2022-09-29 17:58:00.000000 UTC,1.39,9.9,193,145,2
2022-09-01 10:33:00.000000 UTC,2022-09-01 10:40:00.000000 UTC,2.27,9.9,265,191,2
2022-09-01 11:27:00.000000 UTC,2022-09-01 11:32:00.000000 UTC,1,9.9,166,151,2
2022-09-01 13:28:00.000000 UTC,2022-09-01 13:36:00.000000 UTC,1.18,9.9,166,151,2
2022-09-01 21:01:00.000000 UTC,2022-09-01 21:07:00.000000 UTC,0.99,9.9,106,25,2
2022-09-01 21:25:00.000000 UTC,2022-09-01 21:32:00.000000 UTC,1.18,9.9,166,42,2
2022-09-02 08:12:00.000000 UTC,2022-09-02 08:23:00.000000 UTC,1.5,9.9,41,24,2
2022-09-02 09:26:00.000000 UTC,2022-09-02 09:31:00.000000 UTC,0.4,9.9,41,41,2
2022-09-02 10:59:00.000000 UTC,2022-09-02 11:06:00.000000 UTC,1.18,9.9,106,181,2
2022-09-02 11:44:00.000000 UTC,2022-09-02 11:50:00.000000 UTC,1.42,9.9,244,116,2
2022-09-02 13:06:00.000000 UTC,2022-09-02 13:13:00.000000 UTC,1.03,9.9,42,41,2
2022-09-02 14:59:00.000000 UTC,2022-09-02 15:04:00.000000 UTC,1.68,9.9,206,206,2
2022-09-03 03:16:00.000000 UTC,2022-09-03 03:21:00.000000 UTC,0.32,9.9,36,36,2
2022-09-03 06:25:00.000000 UTC,2022-09-03 06:30:00.000000 UTC,28772.58,9.9,159,159,2
2022-09-03 11:26:00.000000 UTC,2022-09-03 11:35:00.000000 UTC,1.13,9.9,7,146,2
2022-09-03 21:35:00.000000 UTC,2022-09-03 21:42:00.000000 UTC,0.62,9.9,112,255,2
2022-09-03 21:56:00.000000 UTC,2022-09-03 22:01:00.000000 UTC,0.46,9.9,244,244,2
2022-09-04 11:31:00.000000 UTC,2022-09-04 11:39:00.000000 UTC,1.27,9.9,166,42,2
2022-09-04 20:13:00.000000 UTC,2022-09-04 20:18:00.000000 UTC,0.37,9.9,74,75,2
2022-09-04 21:04:00.000000 UTC,2022-09-04 21:15:00.000000 UTC,1.65,9.9,33,25,2
2022-09-05 00:41:00.000000 UTC,2022-09-05 00:45:00.000000 UTC,0.51,9.9,244,116,2
2022-09-05 00:22:00.000000 UTC,2022-09-05 00:34:00.000000 UTC,1.76,9.9,49,80,2
2022-09-05 12:46:00.000000 UTC,2022-09-05 12:52:00.000000 UTC,1.1,9.9,7,146,2
2022-09-05 12:54:00.000000 UTC,2022-09-05 13:03:00.000000 UTC,1.51,9.9,42,74,2
2022-09-05 16:39:00.000000 UTC,2022-09-05 16:44:00.000000 UTC,0.73,9.9,33,33,2
